Year,State,id,code,Area,Area Population,State Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Total Crimes
2015,Washington,53,WA,OMA,296377,7170351,553,6,176,169,591,12541,2582,9031,928,25635
2015,Washington,53,WA,NMC,421648,7170351,3887,8,91,46,408,6524,2435,3572,517,16935
2015,West Virginia,54,WV,MSA,1136862,1844128,8,47,433,667,2740,28418,7019,19731,1668,56844
2015,West Virginia,54,WV,OMA,189216,1844128,519,8,33,53,425,3056,498,2426,132,6631
2015,West Virginia,54,WV,NMC,518050,1844128,1825,15,206,40,1564,5777,1653,3685,439,13379
2015,Wisconsin,55,WI,MSA,4268682,5771337,10,209,1396,5131,9034,91251,15314,65713,10224,182512
2015,Wisconsin,55,WI,OMA,639613,5771337,82,10,201,84,787,15070,1846,12858,366,30222
2015,Wisconsin,55,WI,NMC,863042,5771337,8,21,183,17,574,7603,2394,4814,395,15214
2015,Wyoming,56,WY,MSA,179738,586107,366,8,50,31,277,4584,763,3579,242,9534
2015,Wyoming,56,WY,OMA,245549,586107,3,5,83,25,536,5434,717,4460,257,10871
2015,Wyoming,56,WY,NMC,160820,586107,287,3,40,3,241,1133,282,758,93,2553
2013,Alabama,1,AL,MSA,3672399,4833722,16664,283,1507,4208,10666,130416,33451,88269,8696,310947
2013,Alabama,1,AL,OMA,528341,4833722,2840,35,299,367,2139,22487,5605,15637,1245,53419
2013,Alabama,1,AL,NMC,632982,4833722,1322,29,238,73,982,9090,3373,5087,630,22875
2013,Alaska,2,AK,MSA,349294,735132,2734,15,454,569,1696,14476,1523,11912,1041,33209
2013,Alaska,2,AK,OMA,128768,735132,795,1,101,34,659,3733,421,3054,258,8682
2013,Alaska,2,AK,NMC,257070,735132,1179,18,367,21,773,3001,972,1633,396,8153
2013,Arizona,4,AZ,MSA,6277606,6626624,24832,315,2406,6575,15536,213617,45003,152558,16056,497069
2013,Arizona,4,AZ,OMA,123679,6626624,2378,41,631,115,1591,9528,2789,5546,1193,24223
