Year,State,id,code,Area,Area Population,State Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Total Crimes
2016,South Dakota,46,SD,MSA,416782,865454,1735,15,309,211,1200,10384,1802,7584,998,22503
2016,South Dakota,46,SD,OMA,219496,865454,1673,6,159,55,1453,5554,887,4273,394,12781
2016,South Dakota,46,SD,NMC,229176,865454,213,6,41,6,160,1203,311,782,110,2619
2016,Tennessee,47,TN,MSA,5151809,6651194,36002,435,2261,7403,25903,154421,31772,110354,12295,344844
2016,Tennessee,47,TN,OMA,513895,6651194,3326,25,244,290,2767,20509,3890,15469,1150,44344
2016,Tennessee,47,TN,NMC,985490,6651194,2769,26,209,120,2414,14905,4650,8581,1674,32579
2016,Texas,48,TX,MSA,24814265,27862596,112275,1382,12049,32551,66293,710123,132303,512191,65629,1532521
2016,Texas,48,TX,OMA,1439521,27862596,5656,46,708,614,4288,39863,9250,28677,1936,85382
2016,Texas,48,TX,NMC,1608810,27862596,3111,50,610,152,2299,18961,7187,10283,1491,41033
2016,Utah,49,UT,MSA,2725548,3051217,6721,63,1375,1505,3778,83912,11789,63255,8868,174545
2016,Utah,49,UT,OMA,149141,3051217,354,2,90,22,240,3529,535,2779,215,7412
2016,Utah,49,UT,NMC,176528,3051217,332,7,55,14,256,2617,512,1800,305,5566
2016,Vermont,50,VT,MSA,217636,624594,439,7,74,54,304,4894,747,4058,89,10227
2016,Vermont,51,VT,OMA,203654,624594,322,1,62,40,219,3607,585,2937,85,7536
2016,Vermont,50,VT,NMC,203304,624594,228,6,42,12,168,2101,771,1222,108,4430
2016,Virginia,51,VA,MSA,7366234,8411808,16236,406,2236,4572,9022,141037,17122,114954,8961,298310
2016,Virginia,51,VA,OMA,259405,8411808,849,23,147,140,539,6745,919,5568,258,14339
2016,Virginia,51,VA,NMC,786169,8411808,1217,55,354,91,717,8630,1977,6084,569,18477
2016,Washington,53,WA,MSA,6561914,7288000,20475,172,2786,5467,12050,235814,44546,160790,30478,492103
2016,Washington,53,WA,OMA,299860,7288000,1004,7,199,154,644,12894,2652,9004,1238,26792
2016,Washington,53,WA,NMC,426226,7288000,544,16,92,30,406,5945,1982,3393,570,12434
2016,West Virginia,54,WV,MSA,1131010,1831102,4334,52,460,597,3225,29486,7377,20151,1958,63306
2016,West Virginia,54,WV,OMA,187738,1831102,648,3,37,58,550,3220,533,2529,158,7088
2016,West Virginia,54,WV,NMC,512354,1831102,1575,26,160,65,1324,4781,1391,2997,393,11137
2016,Wisconsin,55,WI,MSA,4281462,5778708,15515,205,1541,4608,9161,90113,15411,65509,9193,195741
2016,Wisconsin,55,WI,OMA,648096,5778708,1254,14,251,66,923,14471,1748,12350,373,30196
2016,Wisconsin,55,WI,NMC,849150,5778708,910,10,187,32,681,7136,2266,4478,392,15182
2016,Wyoming,56,WY,MSA,180145,585501,413,8,59,30,316,5020,866,3739,415,10453
2016,Wyoming,56,WY,OMA,245821,585501,663,10,117,27,509,5321,674,4355,292,11305
2016,Wyoming,56,WY,NMC,159535,585501,354,2,29,2,321,1119,231,795,93,2592
